cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2020,House,10/26/20,WY-1,Lynnette Grey Bull,Liz Cheney,4,Expert ratings adjusted for national environment,-45.79377,0,0,.7177314,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WY-1,Lynnette Grey Bull,Liz Cheney,3,Fundamentals (non-polling factors),-43.8408,0,1.284435,1.284435,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WY-1,Lynnette Grey Bull,Liz Cheney,2,CANTOR (analysis of comparable disticts),-46.33645,.8358126,.1545999,.1545999,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WY-1,Lynnette Grey Bull,Liz Cheney,1,Polls adjusted for house effects & other factors,,0,0,0,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WV-3,Hilary Turner,Carol Miller,4,Expert ratings adjusted for national environment,-37.44512,0,0,.7177314,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WV-3,Hilary Turner,Carol Miller,3,Fundamentals (non-polling factors),-35.0049,0,1.284435,1.284435,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WV-3,Hilary Turner,Carol Miller,2,CANTOR (analysis of comparable disticts),-41.69446,.8358126,.1545999,.1545999,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WV-3,Hilary Turner,Carol Miller,1,Polls adjusted for house effects & other factors,,0,0,0,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WV-2,Cathy Kunkel,Alex Mooney,4,Expert ratings adjusted for national environment,-26.27406,0,0,.7177314,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WV-2,Cathy Kunkel,Alex Mooney,3,Fundamentals (non-polling factors),-22.82134,0,1.284435,1.284435,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WV-2,Cathy Kunkel,Alex Mooney,2,CANTOR (analysis of comparable disticts),-28.71368,.8358126,.1545999,.1545999,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WV-2,Cathy Kunkel,Alex Mooney,1,Polls adjusted for house effects & other factors,,0,0,0,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WV-1,Natalie Cline,David McKinley,4,Expert ratings adjusted for national environment,-35.6452,0,0,.7177314,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WV-1,Natalie Cline,David McKinley,3,Fundamentals (non-polling factors),-33.80365,0,1.284435,1.284435,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WV-1,Natalie Cline,David McKinley,2,CANTOR (analysis of comparable disticts),-34.67304,.8358126,.1545999,.1545999,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WV-1,Natalie Cline,David McKinley,1,Polls adjusted for house effects & other factors,,0,0,0,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-8,Amanda Stuck,Mike Gallagher,4,Expert ratings adjusted for national environment,-27.31694,0,0,.7177314,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-8,Amanda Stuck,Mike Gallagher,3,Fundamentals (non-polling factors),-25.55485,0,1.284435,1.284435,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-8,Amanda Stuck,Mike Gallagher,2,CANTOR (analysis of comparable disticts),-18.96202,.8358126,.1545999,.1545999,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-8,Amanda Stuck,Mike Gallagher,1,Polls adjusted for house effects & other factors,,0,0,0,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-7,Tricia Zunker,Thomas P. Tiffany,4,Expert ratings adjusted for national environment,-24.03679,0,0,.7177314,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-7,Tricia Zunker,Thomas P. Tiffany,3,Fundamentals (non-polling factors),-16.11991,0,1.284435,1.284435,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-7,Tricia Zunker,Thomas P. Tiffany,2,CANTOR (analysis of comparable disticts),-20.03063,.8358126,.1545999,.1545999,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-7,Tricia Zunker,Thomas P. Tiffany,1,Polls adjusted for house effects & other factors,,0,0,0,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-6,Jessica J. King,Glenn Grothman,4,Expert ratings adjusted for national environment,-24.0251,0,0,.7177314,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-6,Jessica J. King,Glenn Grothman,3,Fundamentals (non-polling factors),-18.35777,0,1.284435,1.284435,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-6,Jessica J. King,Glenn Grothman,2,CANTOR (analysis of comparable disticts),-19.74083,.8358126,.1545999,.1545999,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-6,Jessica J. King,Glenn Grothman,1,Polls adjusted for house effects & other factors,,0,0,0,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-5,Tom Palzewicz,Scott Fitzgerald,4,Expert ratings adjusted for national environment,-24.95416,0,0,.7177314,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-5,Tom Palzewicz,Scott Fitzgerald,3,Fundamentals (non-polling factors),-21.48787,0,1.284435,1.284435,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-5,Tom Palzewicz,Scott Fitzgerald,2,CANTOR (analysis of comparable disticts),-19.71625,.8358126,.1545999,.1545999,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-5,Tom Palzewicz,Scott Fitzgerald,1,Polls adjusted for house effects & other factors,,0,0,0,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-4,Gwen Moore,Tim Rogers,4,Expert ratings adjusted for national environment,51.61836,0,0,.7177314,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-4,Gwen Moore,Tim Rogers,3,Fundamentals (non-polling factors),51.49167,0,1.284435,1.284435,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-4,Gwen Moore,Tim Rogers,2,CANTOR (analysis of comparable disticts),68.31322,.8358126,.1545999,.1545999,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-4,Gwen Moore,Tim Rogers,1,Polls adjusted for house effects & other factors,,0,0,0,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-3,Ron Kind,Derrick Van Orden,4,Expert ratings adjusted for national environment,8.611007,0,0,.7177314,40000,13:29:47 26 Oct 2020
2020,House,10/26/20,WI-3,Ron Kind,Derrick Van Orden,3,Fundamentals (non-polling factors),5.267465,0,1.284435,1.284435,40000,13:29:47 26 Oct 2020
