cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,evprob_inc,evprob_chal,evprob_3rd,total_ev,timestamp,simulations
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.001775,.000025,,99,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.001125,0,,98,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.001775,0,,97,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.00085,0,,96,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.000975,0,,95,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.0015,0,,94,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.00095,0,,93,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.0015,0,,92,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.00115,0,,91,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.000725,0,,90,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.0001,0,,9,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.001925,.000025,,89,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.001025,.000025,,88,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.000875,0,,87,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.001425,.000025,,86,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.001025,0,,85,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.000725,0,,84,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.0013,0,,83,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.00135,0,,82,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.000975,0,,81,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.00065,0,,80,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.000225,0,,8,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.000775,0,,79,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.000975,0,,78,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.001,0,,77,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.0009,0,,76,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.000775,0,,75,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.000375,0,,74,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.00075,0,,73,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.000575,0,,72,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.000725,0,,71,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.00055,0,,70,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.00015,0,,7,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.000775,0,,69,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.000525,0,,68,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.000625,0,,67,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.000525,0,,66,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.0003,0,,65,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.0004,0,,64,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.000525,0,,63,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",.00025,0,,62,13:42:04 26 Oct 2020,40000
