cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,state,step_no,value_inc,value_chal,value_3rd,weight,step_description,timestamp,simulations
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wyoming,9,67.94462,29.06822,,,Projected vote share,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wyoming,8,71.00243,26.01041,,.0486985,Blend with economic fundamentals,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wyoming,7,67.78769,29.22515,,,Snapshot,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wyoming,6,68.18205,28.83078,,.6630219,Blend with regression,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wyoming,5,67.01176,30.00108,,,Reallocated vote share,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wyoming,4,1.034622,1.034626,,,Reallocate undecideds and third-party votes,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wyoming,3,65.97713,28.96645,,,Adjusted polling average,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wyoming,2,-.0399017,-.0217781,,,Adjust for bounces & recent events,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wyoming,1,66.01704,28.98823,,,Polling average,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wyoming,10,.9989,.0011,,,Chance of winning,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wisconsin,9,46.35993,52.71088,,,Projected vote share,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wisconsin,8,50.0134,49.05742,,.0486985,Blend with economic fundamentals,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wisconsin,7,46.15522,52.9156,,,Snapshot,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wisconsin,6,46.0213,53.04951,,.1714906,Blend with regression,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wisconsin,5,46.18293,52.88788,,,Reallocated vote share,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wisconsin,4,2.010323,2.010319,,,Reallocate undecideds and third-party votes,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wisconsin,3,44.17261,50.87756,,,Adjusted polling average,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wisconsin,2,-.0238914,-.0367393,,,Adjust for bounces & recent events,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wisconsin,1,44.1965,50.9143,,,Polling average,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Wisconsin,10,.121,.879,,,Chance of winning,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",West Virginia,9,63.15998,35.04014,,,Projected vote share,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",West Virginia,8,66.48135,31.71877,,.0486985,Blend with economic fundamentals,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",West Virginia,7,62.96342,35.2367,,,Snapshot,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",West Virginia,6,66.01358,32.18654,,.3787047,Blend with regression,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",West Virginia,5,61.10423,37.09589,,,Reallocated vote share,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",West Virginia,4,1.396313,1.396313,,,Reallocate undecideds and third-party votes,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",West Virginia,3,59.70791,35.69958,,,Adjusted polling average,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",West Virginia,2,.0030937,-.0416451,,,Adjust for bounces & recent events,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",West Virginia,1,59.70482,35.74123,,,Polling average,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",West Virginia,10,.988125,.011875,,,Chance of winning,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Washington,9,37.15801,60.73889,,,Projected vote share,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Washington,8,40.65055,57.24635,,.0486985,Blend with economic fundamentals,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Washington,7,36.96505,60.93185,,,Snapshot,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Washington,6,36.31137,61.58553,,.3110053,Blend with regression,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Washington,5,37.26011,60.63679,,,Reallocated vote share,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Washington,4,1.827541,1.827541,,,Reallocate undecideds and third-party votes,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Washington,3,35.43257,58.80925,,,Adjusted polling average,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Washington,2,-.0634766,.0279503,,,Adjust for bounces & recent events,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Washington,1,35.49605,58.7813,,,Polling average,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Washington,10,.00915,.99085,,,Chance of winning,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Virginia,9,43.51644,55.5176,,,Projected vote share,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Virginia,8,47.17727,51.85678,,.0486985,Blend with economic fundamentals,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Virginia,7,43.34038,55.69366,,,Snapshot,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Virginia,6,41.93954,57.0945,,.2763221,Blend with regression,13:42:04 26 Oct 2020,40000
2020,President,polls-plus,10/26/2020,Trump,Biden,"",Virginia,5,43.87526,55.15879,,,Reallocated vote share,13:42:04 26 Oct 2020,40000
