cycle,state,modeldate,candidate_name,startdate,enddate,pollster,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,tracking,poll_id,question_id
2020,Wyoming,10/26/2020,Joseph R. Biden Jr.,9/26/2020,10/24/2020,SurveyMonkey,649,lv,.3665421,.3665421,31,29.7249,29.77589,T,71893,134807
2020,Wyoming,10/26/2020,Joseph R. Biden Jr.,9/26/2020,10/23/2020,SurveyMonkey,638,lv,0,0,31,29.7249,29.78324,T,71826,134672
2020,Wyoming,10/26/2020,Joseph R. Biden Jr.,9/25/2020,10/22/2020,SurveyMonkey,616,lv,.0122438,.0118841,30,28.73985,28.84022,T,71765,134541
2020,Wyoming,10/26/2020,Joseph R. Biden Jr.,9/24/2020,10/21/2020,SurveyMonkey,605,lv,.0119932,.0115704,31,29.7249,29.83599,T,71682,134342
2020,Wyoming,10/26/2020,Joseph R. Biden Jr.,9/23/2020,10/20/2020,SurveyMonkey,597,lv,.0118063,.0113207,32,30.71074,30.83386,T,71569,134117
2020,Wyoming,10/26/2020,Joseph R. Biden Jr.,9/22/2020,10/19/2020,SurveyMonkey,579,lv,.0114258,.0108887,32,30.71074,30.84324,T,71467,133905
2020,Wyoming,10/26/2020,Joseph R. Biden Jr.,9/21/2020,10/18/2020,SurveyMonkey,558,lv,.0109905,.0104094,33,31.69736,31.84346,T,71382,133721
2020,Wyoming,10/26/2020,Joseph R. Biden Jr.,9/20/2020,10/17/2020,SurveyMonkey,553,lv,.010874,.0102351,33,31.69736,31.86175,T,71300,133560
2020,Wyoming,10/26/2020,Joseph R. Biden Jr.,9/19/2020,10/16/2020,SurveyMonkey,531,lv,.0104267,.0097528,33,31.69736,31.88396,T,71242,133443
2020,Wyoming,10/26/2020,Joseph R. Biden Jr.,9/18/2020,10/15/2020,SurveyMonkey,499,lv,.0097867,.0090967,34,32.68474,32.89273,T,71181,133316
2020,Wyoming,10/26/2020,Joseph R. Biden Jr.,9/16/2020,10/14/2020,SurveyMonkey,450,lv,.0170263,.0157258,36,34.66179,34.89766,T,71107,133166
2020,Wyoming,10/26/2020,Joseph R. Biden Jr.,9/16/2020,10/13/2020,SurveyMonkey,416,lv,0,0,36,34.66179,34.91993,T,71013,132959
2020,Wyoming,10/26/2020,Joseph R. Biden Jr.,9/15/2020,10/12/2020,SurveyMonkey,409,lv,.0080044,.007299,35,33.67289,33.95104,T,70975,132805
2020,Wyoming,10/26/2020,Joseph R. Biden Jr.,6/8/2020,6/30/2020,SurveyMonkey,98,lv,.1110931,.0190594,22.22,21.10395,21.98784,"",70447,131301
2020,Wyoming,10/26/2020,Joseph R. Biden Jr.,7/1/2020,7/31/2020,SurveyMonkey,246,lv,.1857105,.0613215,27.69,26.46741,27.37962,"",70397,131199
2020,Wyoming,10/26/2020,Joseph R. Biden Jr.,8/1/2020,8/31/2020,SurveyMonkey,211,lv,.120936,.0690657,25.07,23.89528,24.72126,"",70347,131097
2020,Wyoming,10/26/2020,Joseph R. Biden Jr.,9/1/2020,9/30/2020,SurveyMonkey,236,lv,.0600096,.0497847,33.86,32.54646,33.19883,T,70295,130990
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/13/2020,10/21/2020,YouGov,647,lv,.6526917,.3550922,53,53.13935,53.16159,"",71948,134867
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/26/2020,10/24/2020,SurveyMonkey,4465,lv,.5811774,.1354888,55,53.28426,53.36737,T,71895,134809
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/23/2020,10/23/2020,Gravis Marketing,677,lv,.8121232,.8121232,54,53.3277,53.34946,"",71877,134726
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/25/2020,10/23/2020,SurveyMonkey,4490,lv,.0211449,.0040379,55,53.28426,53.3802,T,71828,134674
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/25/2020,10/22/2020,SurveyMonkey,4528,lv,0,0,55,53.28426,53.43853,T,71767,134543
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/24/2020,10/21/2020,SurveyMonkey,4540,lv,.0296047,.0031204,55,53.28426,53.44781,T,71684,134344
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/14/2020,10/20/2020,RMG Research,800,lv,.8138771,.4444057,50,50.54342,50.5675,"",71660,134247
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/11/2020,10/20/2020,Morning Consult,1038,lv,.8882231,.4385381,54,53.86114,53.85127,T,71648,134220
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/17/2020,10/20/2020,Fox News/Beacon Research/Shaw & Co. Research,1037,lv,1.763129,1.09613,49,49.01552,49.02356,"",71628,134186
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/22/2020,10/20/2020,SurveyMonkey,4513,lv,.0613882,.0057798,55,53.28426,53.46065,T,71571,134119
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/16/2020,10/19/2020,Susquehanna Polling & Research Inc.,500,lv,.6815998,.3979628,45,46.21996,46.26144,"",71559,134051
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/14/2020,10/19/2020,Latino Decisions,400,lv,.5343021,.2917478,50,48.88354,48.90882,"",71552,134036
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/16/2020,10/19/2020,Change Research,447,lv,.5624068,.3265436,52,52.26949,52.28463,"",71524,133962
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/21/2020,10/19/2020,SurveyMonkey,4511,lv,.0339899,.0027945,55,53.28426,53.47515,T,71469,133907
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/21/2020,10/18/2020,SurveyMonkey,4575,lv,0,0,55,53.28426,53.49249,T,71384,133723
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/13/2020,10/19/2020,Ipsos,663,lv,.8253715,.4125332,51,51.72189,51.749,"",71380,133665
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/14/2020,10/16/2020,Trafalgar Group,1051,lv,.5870565,.2739275,47.6,49.73344,49.77532,"",71365,133639
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/20/2020,10/17/2020,SurveyMonkey,4571,lv,.0468137,.0026202,55,53.28426,53.5172,T,71302,133562
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/13/2020,10/16/2020,YouGov,1112,lv,1.094741,.5134875,51,51.13965,51.1533,"",71296,133501
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/19/2020,10/16/2020,SurveyMonkey,4565,lv,.057286,.0024563,55,53.28426,53.54527,T,71244,133445
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/18/2020,10/15/2020,SurveyMonkey,4513,lv,.0583773,.0022679,55,53.28426,53.5715,T,71183,133318
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/17/2020,10/14/2020,SurveyMonkey,4425,lv,.0596222,.0020622,54,52.28106,52.59499,T,71109,133168
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/8/2020,10/11/2020,Civiqs,560,lv,.5797104,.1630277,53,51.28049,51.30949,"",71102,133105
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/11/2020,10/13/2020,Trafalgar Group,1043,lv,.4204761,.1479525,47.3,50.00266,50.03989,"",71095,133085
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/16/2020,10/13/2020,SurveyMonkey,4414,lv,.0632057,.0018892,54,52.28106,52.6222,T,71015,132961
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/10/2020,10/13/2020,David Binder Research,200,lv,.3355042,.1197359,53,51.21005,51.22104,"",71004,132878
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/15/2020,10/12/2020,SurveyMonkey,4397,lv,.0685449,.0017046,54,52.28106,52.65073,T,70974,132804
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/2/2020,10/11/2020,Morning Consult,1067,lv,.8528649,.1096311,51,50.86062,50.91936,T,70763,132372
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/6/2020,10/11/2020,Ipsos,577,lv,.7141221,.1014598,51.5,52.22159,52.28769,"",70740,132338
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/8/2020,10/11/2020,Siena College/The New York Times Upshot,789,lv,1.644302,.4624149,51,51.27964,51.30355,"",70738,132335
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/30/2020,10/8/2020,Baldwin Wallace University,883,lv,.7271249,.0979418,49.2,49.53688,49.64219,"",70722,132291
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/4/2020,10/7/2020,Redfield & Wilton Strategies,688,lv,.6952353,.0880906,51,52.12242,52.2229,"",70711,132265
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/30/2020,10/4/2020,Marquette University Law School,700,lv,1.453999,.1436232,47,46.59952,46.76801,"",70646,132105
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,10/2/2020,10/4/2020,Change Research,442,lv,.5538016,.0564709,51,51.26971,51.41047,"",70609,132014
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/29/2020,10/5/2020,Ipsos,601,lv,.8143443,.0522443,50,50.72221,50.9929,"",70584,131967
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,6/8/2020,6/30/2020,SurveyMonkey,813,lv,.5069495,0,50.57,48.84677,50.21691,"",70449,131303
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/1/2020,7/31/2020,SurveyMonkey,2173,lv,.6109986,0,50.24,48.51691,49.97075,"",70399,131201
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/1/2020,8/31/2020,SurveyMonkey,1913,lv,.6009769,0,48.38,46.65944,47.89674,"",70349,131099
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/1/2020,9/30/2020,SurveyMonkey,3806,lv,.5750909,0,53.45,51.72968,52.58795,T,70297,130992
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/25/2020,9/28/2020,Trafalgar Group,1084,lv,.4101258,0,47.2,49.90247,50.45703,"",70143,130683
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/23/2020,9/27/2020,Redfield & Wilton Strategies,663,lv,.6396285,0,48,49.12252,49.71671,"",70128,130655
